#  Velocities of campaign stations with respective to EURASIA plate from 2009-2014
#  Lon.— Longitude in angle degree
#  Lat.— Latitude in angle degree
#  Ve  — Velocity(mm/a) in east component
#  Vn  — Velocity(mm/a) in north component
#  sVe — Velocity error(mm/a) in east component
#  sVn — Velocity error(mm/a) in north component
#  cor - Correlation between eastward and northward components
#  Site— station code
#  Lon.     Lat.    Ve     Vn       sVe     sVn  cor   Site
   112.6    40.9    4.25   -0.12    0.19    0.21  0  A002
   112.4    40.2    4.85   -0.77    0.28    0.17  0  A004
   113.1    41.0    5.77   -2.54    0.88    0.70  0  A005
   113.2    40.8    3.49   -1.10    0.28    0.27  0  A006
   113.2    40.4    4.93   -1.24    0.19    0.27  0  A007
   112.7    40.0    5.88   -0.40    0.31    0.19  0  A008
   113.2    40.1    3.81   -1.01    0.22    0.23  0  A009
   114.0    41.1    4.28   -0.86    0.27    0.22  0  A010
   113.8    40.4    4.87   -1.04    0.38    0.22  0  A012
   113.7    40.0    5.83   -1.07    0.35    0.15  0  A013
   114.7    41.2    4.62   -0.81    0.35    0.25  0  A014
   114.2    40.7    3.92   -1.25    0.14    0.31  0  A015
   114.4    40.5    4.28   -1.77    0.15    0.22  0  A016
   114.1    40.5    4.73   -1.16    0.19    0.16  0  A017
   114.8    40.9    4.56   -1.94    0.34    0.23  0  A019
   115.0    40.6    6.99   -0.68    0.40    0.58  0  A020
   114.8    40.4    4.59   -1.66    0.25    0.28  0  A021
   114.7    40.2    4.68   -1.76    0.21    0.12  0  A022
   114.9    40.1    4.76   -1.36    0.23    0.22  0  A023
   112.8    39.8    5.35   -0.54    0.35    0.19  0  A024
   112.8    39.2   11.33   -2.27    0.20    0.23  0  A026
   112.8    39.0    6.02   -1.22    0.30    0.34  0  A027
   112.8    38.7    5.28   -1.82    0.36    0.31  0  A028
   112.7    38.4    5.83   -1.94    0.19    0.27  0  A029
   113.1    39.8    3.91   -0.11    0.34    0.20  0  A030
   113.3    39.6    4.91   -1.13    0.29    0.26  0  A031
   113.7    39.1    5.91   -2.10    0.24    0.31  0  A033
   113.0    38.4    5.43   -1.84    0.24    0.30  0  A035
   113.6    39.7    5.26   -1.37    0.33    0.29  0  A036
   113.8    39.6    5.36   -0.54    0.15    0.23  0  A037
   113.9    39.1    5.71   -1.48    0.42    0.24  0  A039
   113.6    38.8    6.43   -1.58    0.39    0.17  0  A040
   114.2    39.8    5.70   -0.99    0.37    0.16  0  A041
   114.2    38.9    5.05   -1.77    0.15    0.19  0  A043
   114.1    38.6    5.81   -0.66    0.32    0.17  0  A044
   115.3    39.6    5.86   -0.70    0.17    0.25  0  A045
   114.6    39.8    4.37    0.87    0.67    0.62  0  A046
   114.8    39.7    4.68   -0.83    0.26    0.29  0  A047
   114.6    39.4    5.64   -1.36    0.19    0.14  0  A048
   114.7    39.0    4.42   -0.93    0.27    0.22  0  A049
   114.6    38.4    3.12    2.42    0.82    0.61  0  A051
   114.9    38.8    4.87   -0.77    0.17    0.13  0  A052
   115.3    41.0    3.91   -0.85    0.22    0.09  0  A053
   115.4    40.7    8.60   -0.87    0.61    0.27  0  A054
   115.4    40.5    4.40   -0.82    0.33    0.30  0  A055
   115.2    40.3    3.52   -1.52    0.70    0.70  0  A056
   115.2    40.2    4.31   -1.02    0.19    0.19  0  A057
   115.7    41.3    4.68   -0.86    0.31    0.41  0  A058
   115.8    40.9    4.28   -0.68    0.38    0.15  0  A059
   115.6    40.4    5.28   -1.37    0.26    0.19  0  A061
   115.5    40.4    4.80   -1.25    0.16    0.19  0  A062
   116.1    41.1    4.14   -0.36    0.30    0.26  0  A063
   116.2    40.7    4.43   -1.42    0.35    0.29  0  A064
   116.4    40.5    3.98   -0.99    0.47    0.30  0  A065
   115.9    40.3    4.77   -0.23    0.23    0.20  0  A066
   116.6    41.2    4.18   -0.64    0.28    0.20  0  A068
   116.9    41.0    4.72   -1.21    0.38    0.34  0  A069
   116.6    40.7    3.93   -0.45    0.36    0.28  0  A070
   116.8    40.4    4.88   -2.04    0.32    0.22  0  A071
   116.6    40.3    6.40   -3.48    0.70    0.74  0  A072
   117.2    41.2    3.94   -0.64    0.22    0.15  0  A074
   117.4    40.9    3.44    0.85    0.16    0.14  0  A075
